Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
8,268.25,0,0.0,71,2426.791667,0.002702703,0.010810811,33.86849093,0.0,Nov,2,2,1,8,Returning_Visitor,False,True
2,15.5,0,0.0,28,550.0666667,0.0,0.006666667,0.0,0.0,Mar,2,2,1,2,New_Visitor,False,False
1,0.0,0,0.0,0,0.0,0.2,0.2,0.0,0.0,May,3,2,6,5,Returning_Visitor,False,False
4,785.2166667,0,0.0,8,450.8,0.016666667,0.016666667,0.0,0.0,Sep,3,2,3,5,Returning_Visitor,False,False
10,247.15,3,788.0,111,2556.373335,0.000423729,0.00814597,2.514977953,0.0,Nov,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,13,328.9,0.015384615,0.046153846,0.0,0.0,June,2,2,3,3,Returning_Visitor,False,False
0,0.0,0,0.0,6,56.0,0.04,0.08,0.0,0.0,May,3,2,3,1,Returning_Visitor,True,False
0,0.0,0,0.0,12,846.25,0.0,0.018181818,40.4014481,0.0,Dec,2,6,1,6,New_Visitor,False,True
0,0.0,0,0.0,9,140.2,0.0,0.044444444,0.0,0.0,Sep,2,2,9,2,New_Visitor,True,False
0,0.0,0,0.0,17,1338.8,0.058823529,0.094117647,0.0,0.0,Aug,2,2,3,13,Returning_Visitor,False,False
0,0.0,0,0.0,7,295.0,0.028571429,0.057142857,0.0,0.0,Nov,2,4,1,2,Returning_Visitor,False,True
5,215.5,0,0.0,61,1238.066667,0.004761905,0.020740741,0.0,0.6,May,3,2,3,13,Returning_Visitor,False,False
0,0.0,0,0.0,3,62.4,0.0,0.066666667,0.0,0.0,June,2,2,3,3,Returning_Visitor,False,False
5,56.8,0,0.0,3,27.2,0.0,0.033333333,0.0,0.0,Nov,2,2,6,2,New_Visitor,False,False
3,63.0,0,0.0,31,770.5833333,0.005714286,0.023809524,0.0,0.0,Dec,2,2,1,8,Returning_Visitor,False,False
5,1388.75,0,0.0,4,1373.75,0.0,0.02,0.0,0.0,Mar,1,1,7,8,Returning_Visitor,False,False
0,0.0,0,0.0,10,130.75,0.04,0.076666667,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,False,False
3,163.3333333,0,0.0,96,1949.647252,0.00742268,0.014405743,0.0,0.0,Dec,1,1,1,1,Returning_Visitor,False,False
5,111.6666667,1,123.5,42,1610.783197,0.009090909,0.017794258,4.646503212,0.0,Dec,3,2,3,2,Returning_Visitor,False,False
6,224.875,0,0.0,21,845.75,0.0,0.008695652,0.0,0.0,Dec,8,13,9,20,Other,False,False
1,14.0,0,0.0,50,1317.795833,0.01,0.021469506,0.0,0.0,Nov,3,2,4,1,Returning_Visitor,True,False
0,0.0,0,0.0,22,647.6666667,0.009090909,0.026060606,0.0,1.0,May,2,2,4,3,Returning_Visitor,True,False
6,96.85714286,0,0.0,28,672.5452381,0.0,0.020707071,19.71468924,0.0,Mar,1,1,2,10,Returning_Visitor,False,True
0,0.0,1,78.0,18,570.3333333,0.0,0.015686275,0.0,0.0,May,4,1,1,4,Returning_Visitor,True,False
4,100.3,0,0.0,66,2868.133333,0.011428571,0.01725974,9.162351243,0.0,Mar,3,2,1,1,Returning_Visitor,False,True
0,0.0,0,0.0,24,810.5,0.0,0.017207792,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,True,False
0,0.0,0,0.0,12,173.0,0.0,0.016666667,0.0,0.8,May,1,1,6,1,Returning_Visitor,False,False
3,124.0,0,0.0,10,265.9333333,0.0,0.015277778,0.0,0.0,Sep,1,1,1,2,Returning_Visitor,False,False
2,14.5,0,0.0,23,316.3333333,0.008333333,0.030833333,0.0,1.0,May,2,2,2,4,Returning_Visitor,True,False
2,44.5,0,0.0,7,212.1666667,0.0,0.00625,0.0,0.0,Mar,3,2,1,8,New_Visitor,True,False
5,79.0,1,12.0,54,1603.333333,0.005084746,0.025423729,0.0,0.4,May,2,2,6,4,Returning_Visitor,False,False
2,87.0,0,0.0,106,3156.501914,0.000628931,0.009577934,0.0,0.0,May,4,2,3,6,Returning_Visitor,False,False
2,7.0,0,0.0,63,2219.866667,0.003174603,0.023129252,0.0,0.0,Nov,2,2,4,2,Returning_Visitor,True,False
3,102.0,0,0.0,18,1107.466667,0.022222222,0.029444444,0.0,0.2,May,1,1,6,3,Returning_Visitor,False,False
0,0.0,0,0.0,9,329.0,0.022222222,0.044444444,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,False,False
4,160.5833333,1,136.75,21,1632.733333,0.0,0.004545455,16.53909091,0.0,May,2,2,4,2,New_Visitor,True,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Nov,1,1,1,1,New_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Mar,2,4,1,1,Returning_Visitor,False,False
3,17.0,0,0.0,62,1493.353846,0.00952381,0.04031746,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,9,171.0,0.022222222,0.066666667,0.0,0.0,Mar,2,10,4,3,Returning_Visitor,False,False
0,0.0,2,7.0,23,198.8848485,0.0,0.012,0.0,0.8,May,2,2,1,4,Returning_Visitor,False,False
9,726.3666667,0,0.0,80,4322.779121,0.002272727,0.0163943,8.069027652,0.0,May,2,2,2,2,Returning_Visitor,False,True
0,0.0,0,0.0,10,3291.0,0.02,0.058,0.0,0.0,May,3,2,1,13,Returning_Visitor,False,False
0,0.0,0,0.0,9,258.2916667,0.0,0.022222222,0.0,0.0,Nov,2,5,3,2,Returning_Visitor,False,False
5,106.8,0,0.0,84,1242.776046,0.0,0.006589147,4.17431402,0.0,Nov,1,1,2,4,Returning_Visitor,True,False
10,208.5133333,0,0.0,17,369.1,0.0,0.004,0.0,0.0,Sep,3,2,1,6,New_Visitor,False,False
0,0.0,0,0.0,8,480.0,0.0,0.028571429,14.1374752,0.0,Nov,1,1,2,3,New_Visitor,True,True
0,0.0,0,0.0,25,566.8833333,0.0,0.035619048,0.0,0.0,Nov,2,2,3,1,Returning_Visitor,True,False
6,287.0,0,0.0,80,5046.056667,0.011084337,0.025771658,0.579785745,0.0,Oct,2,2,4,3,Returning_Visitor,False,False
0,0.0,0,0.0,20,655.0416667,0.0,0.023928571,0.0,0.0,Dec,1,1,4,2,Returning_Visitor,False,False
6,112.5,0,0.0,86,2041.23355,0.000387597,0.00786268,5.911452178,0.0,Nov,2,4,1,2,Returning_Visitor,False,True
2,13.0,0,0.0,23,855.1666667,0.008,0.025333333,0.0,0.0,Mar,2,5,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,May,1,1,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,26,1380.833333,0.0,0.018055556,0.0,0.0,May,2,6,4,13,Returning_Visitor,False,False
2,81.0,0,0.0,18,631.0,0.01,0.029,0.0,0.0,May,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,17,469.4166667,0.0,0.011764706,0.0,0.0,Mar,1,1,2,2,Returning_Visitor,False,False
0,0.0,0,0.0,19,281.4333333,0.038596491,0.082807018,0.0,0.0,June,2,2,3,4,Returning_Visitor,False,False
18,514.075,4,67.5,178,6630.479365,0.003645833,0.010805067,0.0,0.0,Nov,3,2,1,8,Returning_Visitor,False,True
4,98.0,1,31.0,32,898.1714286,0.0,0.005555556,23.32166667,0.0,May,2,2,4,2,New_Visitor,True,True
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,1,1,1,2,Returning_Visitor,True,False
0,0.0,0,0.0,2,205.0,0.0,0.05,0.0,0.0,May,3,2,1,13,Returning_Visitor,False,False
6,65.41666667,0,0.0,29,1904.541667,0.004848485,0.026060606,0.0,0.0,Nov,1,1,2,8,Returning_Visitor,False,True
2,31.5,0,0.0,27,811.8630952,0.0,0.015873016,0.0,0.0,Nov,1,1,4,8,Returning_Visitor,True,False
0,0.0,0,0.0,12,155.0,0.066666667,0.091666667,0.0,0.0,Nov,4,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Mar,3,3,5,2,Returning_Visitor,False,False
0,0.0,0,0.0,12,354.0,0.0,0.018181818,0.0,0.0,May,2,7,1,2,New_Visitor,True,False
0,0.0,2,15.2,19,1227.153333,0.00952381,0.04399093,0.0,0.0,Sep,1,1,1,2,Returning_Visitor,True,False
2,22.2,0,0.0,18,584.74,0.005882353,0.023529412,0.0,0.0,Aug,1,1,3,2,Returning_Visitor,False,False
3,49.4,4,321.4,91,6418.819048,0.018181818,0.046632997,13.83791777,0.0,Jul,2,2,1,3,Returning_Visitor,False,False
3,279.0,0,0.0,0,0.0,0.0,0.05,0.0,0.0,Mar,3,2,1,10,Returning_Visitor,True,False
1,12.5,0,0.0,51,769.9928571,0.0,0.004081633,0.0,0.0,May,2,2,1,2,Returning_Visitor,True,False
0,0.0,0,0.0,8,729.0,0.041666667,0.070833333,0.0,0.4,May,2,2,8,1,Returning_Visitor,False,False
0,0.0,0,0.0,24,985.0,0.070833333,0.0875,0.0,0.0,June,3,2,6,13,Returning_Visitor,False,False
5,106.8,0,0.0,20,470.8666667,0.027272727,0.045454545,0.0,0.0,Oct,2,2,1,13,Returning_Visitor,False,False
0,0.0,0,0.0,25,1225.857143,0.012,0.040977778,0.0,0.4,May,2,2,5,2,Returning_Visitor,False,False
0,0.0,1,172.0,21,564.5,0.0,0.042965368,0.0,0.8,May,3,3,2,1,Returning_Visitor,False,False
5,157.5,3,433.5,9,599.5,0.0,0.020833333,0.0,0.0,Nov,1,1,1,2,New_Visitor,False,False
17,446.9333333,8,597.5833333,62,2350.667857,0.007452575,0.033986814,79.48403933,0.0,Dec,1,1,7,10,Returning_Visitor,False,False
1,12.5,0,0.0,3,55.5,0.0,0.08,0.0,0.0,Nov,1,1,1,8,Returning_Visitor,True,False
0,0.0,0,0.0,3,39.66666667,0.0,0.033333333,0.0,0.0,Mar,2,4,1,10,Returning_Visitor,False,False
0,0.0,0,0.0,5,24.0,0.0,0.05,0.0,0.2,May,2,2,4,1,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.8,Feb,2,2,2,1,Returning_Visitor,True,False
8,236.8333333,0,0.0,20,411.3888889,0.00952381,0.016825397,17.39171429,0.0,May,3,2,3,3,Returning_Visitor,True,True
4,107.8,3,1236.2,27,1483.457143,0.022222222,0.036111111,29.71496014,0.0,Nov,2,2,9,2,Returning_Visitor,False,False
0,0.0,0,0.0,7,97.0,0.057142857,0.1,0.0,0.0,Mar,2,2,4,1,Returning_Visitor,False,False
0,0.0,2,1368.0,26,650.8083333,0.0,0.014285714,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,True,True
15,238.6838095,0,0.0,33,799.1049417,0.004347826,0.017574237,19.03293603,0.0,Sep,3,2,3,2,Returning_Visitor,True,False
0,0.0,0,0.0,12,249.5,0.005555556,0.025,0.0,0.0,Mar,2,7,7,1,Returning_Visitor,False,False
10,149.013357,2,138.0,78,2207.366936,0.002380952,0.012458392,0.0,0.0,Dec,3,2,1,2,Returning_Visitor,False,False
2,166.9166667,7,115.0,233,7952.491839,0.001834947,0.019045831,8.920900783,0.0,Nov,2,2,1,2,Returning_Visitor,False,True
5,170.8333333,0,0.0,79,1193.517172,0.0,0.002821869,0.0,0.0,Oct,4,1,1,2,Returning_Visitor,True,False
9,779.3556619,4,163.6666667,75,13430.97606,0.002941176,0.032017551,16.16333333,0.0,May,2,2,2,13,Returning_Visitor,False,True
0,0.0,0,0.0,5,134.0,0.02,0.026666667,0.0,0.0,May,1,2,2,2,Returning_Visitor,True,False
4,144.5,0,0.0,19,885.125,0.021052632,0.050877193,0.0,0.6,May,3,2,6,13,Returning_Visitor,False,False
9,233.5,2,102.0,81,2477.666667,0.001149425,0.011954023,0.0,0.0,May,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,37,918.5416667,0.005405405,0.005315315,0.0,0.0,Nov,1,1,1,2,New_Visitor,True,True
1,3.5,0,0.0,20,309.1666667,0.0,0.001428571,0.0,0.0,Nov,2,2,2,2,Returning_Visitor,False,False
9,181.275,2,65.0,120,3283.715359,0.004651163,0.024543027,2.442153455,0.0,Nov,1,2,1,2,Returning_Visitor,False,False
6,145.0,0,0.0,13,644.0,0.0,0.013333333,0.0,0.0,Mar,2,2,1,2,New_Visitor,False,False
3,49.5,0,0.0,22,458.25,0.02,0.056666667,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,False,False
2,105.5,1,437.5,55,1984.025,0.0,0.003486395,0.0,0.0,Nov,3,2,4,6,Returning_Visitor,True,False
5,35.7,5,95.65,95,2383.139223,0.019666667,0.036723457,0.0,0.0,Aug,3,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,11,257.75,0.0,0.024242424,0.0,0.0,Dec,3,2,2,2,New_Visitor,False,False
1,27.0,0,0.0,4,30.0,0.04,0.08,0.0,0.6,May,3,2,2,11,New_Visitor,False,False
10,253.9,7,218.0,91,2869.788095,0.002,0.005452381,0.0,0.0,May,3,2,3,4,Returning_Visitor,False,False
6,186.6666667,2,100.8,11,347.4,0.0,0.015,0.0,0.0,Aug,3,2,4,5,Returning_Visitor,False,True
3,227.0,0,0.0,2,62.0,0.0,0.025,0.0,0.0,Mar,3,2,1,10,Returning_Visitor,True,False
5,197.0,4,246.0,17,427.0833333,0.0,0.008695652,0.0,0.0,Mar,1,1,3,2,New_Visitor,False,False
4,158.0,0,0.0,18,567.75,0.0,0.034586466,0.0,0.0,May,3,2,2,4,Returning_Visitor,False,False
1,5.0,0,0.0,13,545.5714286,0.013333333,0.020784314,26.12015415,0.0,Mar,2,2,3,2,Returning_Visitor,True,True
0,0.0,0,0.0,6,399.0,0.0,0.033333333,0.0,0.0,May,4,2,4,4,Returning_Visitor,False,False
0,0.0,0,0.0,50,999.8333333,0.0,0.009,0.0,0.0,Dec,2,2,1,8,New_Visitor,True,False
0,0.0,0,0.0,23,737.1666667,0.008695652,0.011594203,0.0,0.6,Feb,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,74,3237.114166,0.002702703,0.009113578,0.0,0.0,Nov,4,2,3,3,Returning_Visitor,False,False
0,0.0,0,0.0,74,2763.25,0.005405405,0.021288981,27.74177162,0.0,May,2,5,3,6,Returning_Visitor,False,False
2,16.2,0,0.0,3,268.0,0.0,0.04,49.55482147,0.0,Nov,2,2,5,5,New_Visitor,False,False
0,0.0,0,0.0,3,70.0,0.0,0.066666667,0.0,0.0,Nov,1,1,2,2,New_Visitor,True,False
0,0.0,0,0.0,14,354.25,0.0,0.015384615,124.032,0.0,May,1,1,6,5,New_Visitor,False,True
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Dec,2,2,6,13,Returning_Visitor,False,False
1,9.0,1,49.0,25,2454.45,0.0,0.015384615,31.75846154,0.0,May,2,2,9,6,Returning_Visitor,False,True
0,0.0,0,0.0,7,128.0,0.0,0.016666667,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
0,0.0,1,83.0,16,223.0,0.0,0.023529412,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,12,282.75,0.016666667,0.052777778,0.0,0.0,Nov,2,2,1,13,Returning_Visitor,False,False
7,159.5,0,0.0,14,249.0,0.011764706,0.041176471,0.0,0.0,Mar,1,1,3,2,Returning_Visitor,True,False
0,0.0,1,55.0,63,1462.45,0.0,0.003225806,22.088,0.0,May,2,2,1,5,New_Visitor,False,True
4,178.2,0,0.0,9,368.2,0.02,0.05,0.0,0.0,Mar,3,2,8,3,Returning_Visitor,True,False
14,247.1363636,2,120.6666667,56,1080.266667,0.01884058,0.025355418,24.72661836,0.6,May,3,2,1,1,Returning_Visitor,False,False
5,109.8333333,1,37.0,24,1067.795238,0.0,0.008035714,64.46185714,0.0,May,1,1,4,3,Returning_Visitor,False,False
11,604.73,0,0.0,63,1276.843158,0.0,0.006712329,0.0,0.0,Jul,2,2,8,6,New_Visitor,False,True
0,0.0,0,0.0,17,1731.625,0.0,0.035294118,0.0,0.0,Dec,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,18,495.0,0.011111111,0.03,0.0,0.8,May,3,2,1,13,Returning_Visitor,False,False
2,7.0,0,0.0,7,98.55,0.05,0.058333333,0.0,0.0,Nov,3,2,3,11,Returning_Visitor,True,False
0,0.0,0,0.0,15,789.6666667,0.0,0.014285714,14.55428571,0.0,May,2,2,3,2,Returning_Visitor,False,True
0,0.0,0,0.0,6,34.0,0.133333333,0.166666667,0.0,0.4,May,3,2,4,13,Returning_Visitor,False,False
0,0.0,0,0.0,3,98.0,0.0,0.066666667,0.0,0.0,Mar,2,6,7,1,Returning_Visitor,False,False
0,0.0,0,0.0,11,116.5,0.036363636,0.075757576,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,May,3,2,3,13,Returning_Visitor,False,False
0,0.0,0,0.0,53,952.1598198,0.015839126,0.037802052,0.0,0.0,Jul,3,2,8,1,Returning_Visitor,True,False
0,0.0,0,0.0,50,2147.983333,0.012285714,0.024768116,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,True,False
7,46.2,0,0.0,22,280.0466667,0.00952381,0.012698413,0.0,0.0,Aug,2,2,1,3,New_Visitor,True,False
0,0.0,0,0.0,5,277.0,0.0,0.04,0.0,0.0,May,2,2,6,13,Returning_Visitor,False,False
0,0.0,0,0.0,14,811.0,0.015384615,0.041025641,0.0,0.0,Mar,2,2,8,1,Returning_Visitor,False,False
1,19.0,0,0.0,24,3209.0,0.008695652,0.017391304,64.33043478,0.0,May,2,2,9,3,New_Visitor,False,False
0,0.0,0,0.0,24,783.375,0.0,0.004166667,15.75636267,0.0,Nov,1,1,4,3,Returning_Visitor,False,True
0,0.0,0,0.0,3,108.0,0.0,0.066666667,0.0,0.0,May,2,2,4,13,Returning_Visitor,False,False
0,0.0,0,0.0,28,1250.125,0.0,0.022857143,0.0,0.0,Nov,2,2,1,3,Returning_Visitor,False,False
15,161.764411,7,227.25,104,6254.420122,0.028065242,0.036927442,3.431210317,0.0,May,3,2,1,2,Returning_Visitor,True,False
1,299.0,0,0.0,4,212.5,0.0,0.04,0.0,0.0,May,2,2,2,1,Returning_Visitor,True,False
7,163.6666667,0,0.0,8,119.3333333,0.015384615,0.023076923,0.0,0.0,Mar,3,2,6,11,New_Visitor,True,False
0,0.0,0,0.0,41,881.1666667,0.009756098,0.021138211,0.0,0.6,May,2,5,1,3,Returning_Visitor,False,False
2,45.0,0,0.0,9,96.46666667,0.0,0.018181818,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,False,False
0,0.0,0,0.0,11,1712.416667,0.018181818,0.036363636,0.0,0.0,Nov,3,2,1,10,Returning_Visitor,True,False
1,7.0,0,0.0,29,906.5666667,0.0,0.006896552,0.0,0.0,Mar,4,1,1,2,New_Visitor,True,False
11,102.1666667,1,20.0,25,1222.625,0.0,0.035,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
2,15.0,0,0.0,38,1880.966667,0.003703704,0.023809524,12.59766667,0.0,May,4,1,1,4,Returning_Visitor,True,True
2,98.0,0,0.0,15,947.0,0.00625,0.006666667,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,True,False
0,0.0,0,0.0,12,148.75,0.02,0.056666667,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,False,False
2,191.0,1,100.0,46,2452.582143,0.007246377,0.022253906,0.0,0.0,Mar,3,2,9,3,Returning_Visitor,True,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,June,1,1,9,5,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Nov,2,4,4,1,Returning_Visitor,False,False
0,0.0,0,0.0,13,710.0666667,0.0,0.007692308,72.52283848,0.0,Nov,1,1,2,2,Returning_Visitor,False,True
1,73.75,0,0.0,45,2674.339216,0.000869565,0.020139353,0.0,0.0,Nov,1,1,8,1,Returning_Visitor,False,False
9,335.1666667,5,219.0,107,6235.06603,0.005309735,0.016223404,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,False,False
15,168.429198,2,10.0,98,2806.829918,0.01314475,0.039029125,0.546128304,0.0,May,2,2,3,2,Returning_Visitor,True,False
